codigo	nome	valor
41101278	RM - Mao (nao inclui punho)	941.33
41101286	RM - Bacia (articulacoes sacroiliacas) RM - Coxa (unilateral)	941.44
41101294	Servico 41101294	941.44
41101308	RM - Perna (unilateral)	941.44
41101316	RM - Pe (antepe) - nao inctui tornozelo	941.44
41101332	Angio-RM de aorta toracica RM - Articular (por articulacao)	990.68
41101340	Angio-RM de aorta abdominal	990.68
41101359	Servico 41101359	941.44
41101375	Hidro-RM (colangio-RM ou uro-RM ou mielo-RM ou sia	281.33
41101383	Endoscopia virtual por RM - acrescentar ao exame d	267.83
41101430	RM - Reconstrucao tridimensional - acrescentar ao RM - Avaliacao de ferro (coracao ou figado)	1059.41
41101448	Servico 41101448	1040.49
41101456	RM - Tractografia	347.07
41101472	RM - Difusao por RM	1096.67
41101480	RM - Planejamento	1574.75
41101499	Angio-RM arterial pulmonar RM - Mama (bilateral)	941.44
41101502	Angio-RM venosa pulmonar	941.44
41101510	Angio-RM arterial de abdome superior	941.44
41101529	Angio-RMvenosa de abdome superior	941.44
41101537	Angio-RM arterial de cranio	941.44
41101545	Angio-RM venosa de cranio	941.44
41101553	Angio-RM arterial de membro inferior (unilateral)	941.44
41101561	Angio-RM venosa de rmembro inferior (unilateral)	941.44
41101570	Angio-RM arterial de membro superior (unilateral)	941.44
41101588	Angio-RM venosa de membro superior (unilateral)	941.44
41101596	Angio-RM arterial de pelve	941.44
41101600	Angio-RM venosa de pelve	941.44
41101618	Angio-RM arterial de pescoco	941.44
41101626	Angio-RMvenosa de pescoco	941.44
41101634	RM - Endorretal	1032.41
41101642	RM - Endovaginal	1032.41
41101650	RM - Neuronavegador	346.92
