codigo	nome	valor_individual	valor_empresarial
20104286	TERAPIA ONCOLOGICA COM APLICACAO INTRA-ARTERIAL OU INTRAVENOSA DE MEDICAMENTOS EM INFUSAO DE DURACAO MINIMA DE 6 HORAS - POR DIA SUBSEQUENTE DE TRATAMENTO	174.96	174.96
20104294	TERAPIA ONCOLOGICA - PLANEJAMENTO E 1 DIA DE TRATA MENTO	179.31	179.31
20104308	TERAPIA ONCOLOGICA - POR DIA SUBSEQUENTE DE TRATAMENTO	35.33	35.33
20104316	CURATIVO DE OUVIDO (CADA)	31.97	31.97
20104324	CURATIVO OFTALMOLOGICO	27.22	27.22
20104332	BOTA DE UNNA - CONFECCAO	47.53	47.53
20104340	CATETERISMO DE CANAIS EJACULADORES	86.92	86.92
20104359	MASSAGEM PROSTATICA	28.27	28.27
20104383	PULSOTERAPIA INTRAVENOSA (POR SESSAO) - AMBULATORIAL	290.55	290.55
20104448	TERAPIA DE PRESSAO NEGATIVA - AMBULATORIAL	50.67	50.67
20104464	TERAPIA IMUNOPROFILATICA PARA O VSR POR SESSAO AMBULATORIAL	241.82	241.82
20104472	TERAPIA SUBCUTANEA COM IMUNOGLOBULINA HUMANA POLICLONAL	113.30	113.30
20104480	TERAPIA ANTI-REABSORTIVA OSSEA INTRAVENOSA - AMBULATORIAL	187.51	187.51
20104545	TERAPIA MEDICAMENTOSA INJETAVEL AMBULATORIAL	113.86	113.86
20104588	TERAPIA PARA DOENCA DE FABRY CLASSICA	113.86	113.86
20201010	ACOMPANHAMENTO CLINICO DE TRANSPLANTE RENAL NO PERIODO DE INTERNACAO DO RECEPTOR E DO DOADOR (POS-OPERATORIO ATE 15 DIAS)	3371.92	3371.92
20201028	ACOMPANHAMENTO PEROPERATORIO	91.91	91.91
20201036	ASSISTENCIA CARDIOLOGICA PEROPERATORIA EM CIRURGIA GERAL E EM PARTO PRIMEIRA HORA	140.10	140.10
20201044	ASSISTENCIA CARDIOLOGICA PEROPERATORIA EM CIRURGIA GERAL E EM PARTO HORAS SUPLEMENTARES - MAXIMO DE 4 HORAS	32.70	32.70
20201052	CARDIOVERSAO ELETRICA ELETIVA (AVALIACAO CLINICA, ELETROCARDIOGRAFICA, INDISPENSAVEL A DESFIBRILACAO)	128.47	128.47
20201060	REJEICAO DE ENXERTO RENAL - TRATAMENTO INTERNADO - AVALIACAO CLINICA DIARIA - POR VISITA	97.51	97.51
20201079	TRANSPLANTE DUPLO RIM-PANCREAS - ACOMPANHAMENTO CLINICO (POS-OPERATORIO ATE 15 DIAS)	3274.97	3274.97
20201087	TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO, HIPERTENSAO INTRACRANIANA E HEMORRAGIA POR DIA	233.26	233.26
20201095	ASSISTENCIA CARDIOLOGICA NO POS-OPERATORIO DE CIRURGIA CARDIACA APOS A ALTA DA UTI	77.38	77.38
20201109	AVALIACAO CLINICA DIARIA ENTERAL	82.87	82.87
20201117	AVALIACAO CLINICA DIARIA PARENTERAL	140.77	140.77
20201125	AVALIACAO CLINICA DIARIA PARENTERAL E ENTERAL	177.40	177.40
20201141	ACOMPANHAMENTO CLINICO DE TRANSPLANTE HEPATICO NO PERIODO DE INTERNACAO DO RECEPTOR E DO DOADOR	80.47	80.47
20202016	CARDIOTOCOGRAFIA ANTEPARTO	40.25	40.25
20202024	CARDIOTOCOGRAFIA INTRAPARTO POR HORA ATE 6 HORAS EXTERNA	60.41	60.41
20202032	MONITORIZACAO HEMODINAMICA INVASIVA POR 12 HORAS	62.11	62.11
20202040	MONITORIZACAO NEUROFISIOLOGICA INTRA-OPERATORIA	759.37	759.37
20202059	POTENCIAL EVOCADO INTRA-OPERATORIO - MONITORIZACAO CIRURGICA (PE/IO)	172.13	172.13
20202067	MONITORIZACAO DA PRESSAO INTRACRANIANA POR DIA	85.41	85.41
20203012	ASSISTENCIA FISIATRICA RESPIRATORIA EM PACIENTE INTERNADO COM VENTILACAO MECANICA	13.34	13.34
20203020	ELETROESTIMULACAO DO ASSOALHO PELVICO E/OU OUTRA TECNICA DE EXERCICIOS PERINEAIS	17.17	17.17
20203047	ASSISTENCIA FISIATRICA RESPIRATORIA EM DOENTE CLINICO INTERNADO	12.22	12.22
20203063	PACIENTES COM DOENCA ISQUEMICA DO CORACAO, HOSPITALIZADO, ATE 8 SEMANAS DE PROGRAMA	12.22	12.22
20203071	PACIENTES EM POS-OPERATORIO DE CIRURGIA CARDIACA, HOSPITALIZADO, ATE 8 SEMANAS DE PROGRAMA	12.22	12.22
20204027	CARDIOVERSAO ELETRICA DE EMERGENCIA	117.08	117.08
20204035	CARDIOVERSAO QUIMICA DE ARRITMIA PAROXISTA EM EMERGENCIA	117.08	117.08
20204043	PRIAPISMO - TRATAMENTO NAO CIRURGICO	133.38	133.38
20204086	TERAPIA ONCOLOGICA COM APLICACAO INTRA-ARTERIAL DE MEDICAMENTOS, EM REGIME DE APLICACAO PEROPERATORIA, POR MEIO DE CRONOINFUSOR OU PERFUSOR EXTRA-CORPOREA	574.07	574.07
20204159	PULSOTERAPIA INTRAVENOSA POR SESSAO - HOSPITALAR	290.55	290.55
20204183	TERAPIA IMUNOPROFILATICA PARA O VSR POR SESSAO HOSPITALAR	252.79	252.79
20204191	TROMBOLISE ENDOVENOSA NO ACIDENTE VASCULAR CEREBRAL AVC ISQUEMICO AGUDO	947.20	947.20
20204205	TERAPIA ANTI-REABSORTIVA OSSEA INTRAVENOSA - HOSPITALAR	185.69	185.69
20204248	TERAPIA COM ALFACERLIPONASE PARA LIPOFUSCINOSE CEROIDE NEURONAL TIPO 2 CLN2	29.68	29.68
30101018	ABRASAO CIRURGICA (POR SESSAO)	205.82	205.82
30101050	APENDICE PRE-AURICULAR - RESSECCAO	242.52	242.52
30101069	AUTONOMIZACAO DE RETALHO - POR ESTAGIO	347.60	347.60
30101085	BIOPSIA DE UNHA	85.83	85.83
30101093	CALOSIDADE E/OU MAL PERFURANTE - DESBASTAMENTO (POR LESAO)	54.96	54.96
30101107	CAUTERIZACAO QUIMICA (POR GRUPO DE ATE 5 LESOES)	72.09	72.09
30101115	CIRURGIA DA HIDROSADENITE POR REGIAO	365.02	365.02
30101123	CIRURGIA MICROGRAFICA DE MOHS	332.10	332.10
30101140	CORRECAO CIRURGICA DE LINFEDEMA POR ESTAGIO	970.42	970.42
30101158	CORRECAO CIRURGICA DE SEQUELAS DE ALOPECIA TRAUMATICA COM MICROENXERTOS PILOSOS (POR REGIAO)	360.05	360.05
30101166	CORRECAO DE DEFORMIDADES NOS MEMBROS COM UTILIZACAO DE IMPLANTES	970.37	970.37
30101174	CORRECAO DE DEFORMIDADES POR EXERESE DE TUMORES, CICATRIZES OU FERIMENTOS COM O EMPREGO DE EXPANSORES EM RETALHOS MUSCULARES OU MIOCUTANEOS POR ESTAGIO	970.37	970.37
30101182	CORRECAO DE DEFORMIDADES POR EXERESE DE TUMORES, CICATRIZES OU FERIMENTOS, COM O EMPREGO DE EXPANSORES DE TECIDO, EM RETALHOS CUTANEOS POR ESTAGIO	970.37	970.37
30101204	CRIOCIRURGIA (NITROGENIO LIQUIDO) DE NEOPLASIAS CUTANEAS	158.82	158.82
30101212	CURATIVO DE QUEIMADURAS-POR UNIDADE TOPOGRAFICA UT) AMBULATORIAL	53.01	53.01
30101220	CURATIVO DE QUEIMADURAS - POR UNIDADE TOPOGRAFICA (UT) HOSPITALAR	96.10	96.10
30101239	CURATIVO ESPECIAL SOB ANESTESIA - POR UNIDADE TOPOGRAFICA UT	100.93	100.93
30101247	CURETAGEM E ELETROCOAGULACAO DE CA DE PELE (POR LESAO)	122.56	122.56
30101255	CURETAGEM SIMPLES DE LESOES DE PELE POR GRUPO DE ATE 5 LESOES	64.04	64.04
30101263	DERMOABRASAO DE LESOES CUTANEAS	269.74	269.74
30101271	DERMOLIPECTOMIA PARA CORRECAO DE ABDOME EM AVENTAL	1068.24	1068.24
30101280	DESBRIDAMENTO CIRURGICO - POR UNIDADE TOPOGRAFICA UT	205.82	205.82
30101298	ELETROCOAGULACAO DE LESOES DE PELE E MUCOSAS - COM OU SEM CURETAGEM POR GRUPO DE ATE 5 LESOES	92.15	92.15
30101301	ENXERTO CARTILAGINOSO	364.99	364.99
30101310	ENXERTO COMPOSTO	380.03	380.03
30101328	ENXERTO DE MUCOSA	364.99	364.99
30101336	ENXERTO DE PELE (HOMOENXERTO INCLUSIVE)	370.07	370.07
30101344	ENXERTO DE PELE MULTIPLO - POR UNIDADE TOPOGRAFICA (UT)	484.69	484.69
30101352	EPILACAO POR ELETROLISE POR SESSAO	56.85	56.85
30101360	ESCALPO PARCIAL - TRATAMENTO CIRURGICO	428.15	428.15
30101379	ESCALPO TOTAL - TRATAMENTO CIRURGICO	923.32	923.32
30101387	ESCARECTOMIA DESCOMPRESSIVA (PELE E ESTRUTURAS PROFUNDAS) - POR UNIDADE TOPOGRAFICA (UT)	162.90	162.90
30101395	ESFOLIACAO QUIMICA MEDIA (POR SESSAO)	170.39	170.39
30101409	ESFOLIACAO QUIMICA PROFUNDA (POR SESSAO)	202.86	202.86
30101417	ESFOLIACAO QUIMICA SUPERFICIAL (POR SESSAO)	124.58	124.58
30101425	EXERESE DE HIGROMA CISTICO	901.72	901.72
30101433	EXERESE DE HIGROMA CISTICO NO RN E LACTENTE	1712.13	1712.13
30101441	EXERESE DE LESAO COM AUTO-ENXERTIA	395.60	395.60
30101450	EXERESE E SUTURA DE LESOES CIRCULARES OU NAO COM ROTACAO DE RETALHOS CUTANEOS	320.37	320.37
30101468	EXERESE DE LESAO / TUMOR DE PELE E MUCOSAS	143.95	143.95
30101476	EXERESE DE TUMOR E ROTACAO DE RETALHO MUSCULO-CUTANEO	363.25	363.25
30101484	EXERESE DE UNHA	76.54	76.54
30101492	EXERESE E SUTURA SIMPLES DE PEQUENAS LESOES - GRUPO DE ATE 5 LESOES	163.71	163.71
30101506	EXERESE TANGENCIAL (SHAVING) - (POR GRUPO DE ATE 5 LESOES)	103.68	103.68
30101514	EXPANSAO TISSULAR POR SESSAO	55.39	55.39
30101522	EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXCISAO E RETALHOS CUTANEOS DA REGIAO	790.38	790.38
30101530	EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXERESE E EMPREGO DE RETALHOS CUTANEOS OU MUSCULARES CRUZADOS (POR ESTAGIO)	970.37	970.37
30101549	EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXERESE E RETALHOS CUTANEOS A DISTANCIA	874.31	874.31
30101557	EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXERESE E ROTACAO DE RETALHO FASCIOCUTANEO OU AXIAL	970.37	970.37
30101565	EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXERESE E ROTACAO DE RETALHOS MIOCUTANEOS	897.43	897.43
30101573	EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXERESE E ROTACAO DE RETALHOS MUSCULARES	897.43	897.43
