codigo	nome	valor
41001524	ANGIOTOMOGRAFIA VENOSA PULMONAR	390.81
41002040	TC - PUNÇÃO PARA INTRODUÇÃO DE CONTRASTE (ACRESCENTAR O EXAME DE BASE)	103.74
41101014	RM - CRÂNIO (ENCÉFALO)	616.77
41101022	RM - SELA TÚRCICA (HIPÓFISE)	616.77
41101030	RM - BASE DO CRÂNIO	616.77
41101057	PERFUSÃO CEREBRAL POR RM	309.27
41101065	ESPECTROSCOPIA POR RM	238.51
41101073	RM - ÓRBITA BILATERAL	616.77
41101081	RM - OSSOS TEMPORAIS BILATERAL	616.77
41101090	RM - FACE (INCLUI SEIOS DA FACE)	616.77
41101103	RM - ARTICULAÇÃO TEMPOROMANDIBULAR (BILATERAL)	604.77
41101111	RM - PESCOÇO (NASOFARINGE, OROFARINGE, LARINGE, TRAQUÉIA, TIREÓIDE, PARATIREÓIDE)	616.77
41101120	RM - TÓRAX (MEDIASTINO, PULMÃO, PAREDE TORÁCICA)	649.34
41101138	RM - CORAÇÃO - MORFOLÓGICO E FUNCIONAL	649.34
41101170	RM - ABDOME SUPERIOR (FÍGADO, PÂNCREAS, BAÇO, RINS, SUPRA-RENAIS, RETROPERITÔNIO)	649.34
41101189	RM - PELVE (NÃO INCLUI ARTICULAÇÕES COXOFEMORAIS)	616.77
41101197	RM - FETAL	649.34
41101200	RM - PÊNIS	604.77
41101219	RM - BOLSA ESCROTAL	604.77
41101227	RM - COLUNA CERVICAL OU DORSAL OU LOMBAR	616.77
41101235	RM - FLUXO LIQUÓRICO (COMO COMPLEMENTAR)	261.77
41101243	RM - PLEXO BRAQUIAL (DESFILADEIRO TORÁCICO) OU LOMBOSSACRAL (NÃO INCLUI COLUNA CERVICAL OU LOMBAR)	649.34
41101251	RM - MEMBRO SUPERIOR UNILATERAL (NÃO INCLUI MÃO E ARTICULAÇÕES)	616.77
41101260	RM - MÃO (NÃO INCLUI PUNHO)	616.77
41101278	RM - BACIA (ARTICULAÇÕES SACROILÍACAS)	616.77
41101286	RM - COXA (UNILATERAL)	616.77
41101294	RM - PERNA (UNILATERAL)	616.77
41101308	RM - PÉ (ANTEPÉ) - NÃO INCLUI TORNOZELO	616.77
41101316	RM - ARTICULAR (POR ARTICULAÇÃO)	616.77
41101332	ANGIO-RM DE AORTA TORÁCICA	649.34
41101340	ANGIO-RM DE AORTA ABDOMINAL	649.34
41101359	HIDRO-RM (COLÂNGIO-RM OU URO-RM OU MIELO-RM OU SIALO-RM OU CISTOGRAFIA POR RM)	616.77
41101472	RM - PLANEJAMENTO	173.33
41101480	RM - MAMA (BILATERAL)	668.38
41101499	ANGIO-RM ARTERIAL PULMONAR	668.38
41101502	ANGIO-RM VENOSA PULMONAR	668.38
41101510	ANGIO-RM ARTERIAL DE ABDOME SUPERIOR	668.38
41101529	ANGIO-RM VENOSA DE ABDOME SUPERIOR	668.38
41101537	ANGIO-RM ARTERIAL DE CRÂNIO	789.03
41101545	ANGIO-RM VENOSA DE CRÂNIO	789.03
41101553	ANGIO-RM ARTERIAL DE MEMBRO INFERIOR (UNILATERAL)	929.64
41101596	ANGIO-RM ARTERIAL DE PELVE	668.38
41101600	ANGIO-RM VENOSA DE PELVE	668.38
41101618	ANGIO-RM ARTERIAL DE PESCOÇO	668.38
41101626	ANGIO-RM VENOSA DE PESCOÇO	668.38
